year,type,work,characters,actors,song,artist,search,alt,verified
1992,drama,질투,하영호|유하경,최수종|최진실,질투,유승범,질투 드라마 유승범,,
2025,drama,언더커버 하이스쿨,정해성|오수아,서강준|진기주,내 이름을 불러줘,한경수,언더커버 하이스쿨 OST,,
2025,drama,폭싹 속았수다,양관식|오애순,박보검|아이유,밤 산책,아이유,아이유 밤 산책,,1
1991,drama,사랑이 뭐길래,이대발|박지은,최민수|하희라,타타타,김국환,김국환 타타타,,1
1993,drama,걸어서 하늘까지,정종호|임지숙,최민수|김혜선,걸어서 하늘까지,장현철,장현철 걸어서 하늘까지,,1
1994,drama,마지막 승부,윤철준|정다슬,장동건|심은하,마지막 승부,김민교,김민교 마지막 승부,,1
1994,drama,서울의 달,김홍식|차영숙,한석규|채시라,서울의 달,장철웅,장철웅 서울의 달,,1
1994,drama,사랑을 그대 품안에,강풍호|이진주,차인표|신애라,사랑을 그대 품안에,최진영,최진영 사랑을 그대 품안에,,1
1994,drama,느낌,한빈|유리,손지창|우희진,그대와 함께,손지창 & 김민종,더 블루 그대와 함께,With You,1
1998,drama,미스터Q,이강토|한해원,김민종|김희선,세상 끝에서의 시작,김민종,김민종 세상끝에서의 시작,,1
1992,drama,내일은 사랑,신범수|유현경,이병헌|고소영,내일은 사랑,이후종,이후종 내일은 사랑,,1
1994,drama,종합병원,김도훈|이정화,이재룡|신은경,혼자만의 사랑,김태영,김태영 혼자만의 사랑,,1
1997,drama,모델,송경린|제임스 리,김남주|장동건,너 하나만 사랑해,고한우,고한우 너 하나만 사랑해,,1
1997,drama,그대 그리고 나,윤수경|박동규,최진실|박상원,바람과 함께 부르는 노래,조혜리,조혜리 바람과 함께 부르는 노래,,1
